City,Clouds,Country,Humidity,Lat,Long,Temp,Wind Speed
Ushuaia,75,AR,64,-54.81,-68.31,39.5,9.3
Batabano,20,CU,83,22.72,-82.29,78.7,1.5
Geraldton,0,AU,26,-28.77,114.6,80.9,8.7
Fare,42,PF,78,-16.7,-151.02,78.8,6.37
Vaini,40,TO,78,-21.2,-175.2,79.1,4.6
Tuktoyaktuk,90,CA,93,69.44,-133.03,41.3,3.6
Conceicao da Barra,0,BR,88,-18.59,-39.73,61.3,1.97
Grootfontein,0,NA,15,-19.56,18.1,53.8,3.43
Progreso,100,MX,92,20.25,-99.19,63.0,2.13
Hobart,75,AU,57,-42.88,147.33,49.3,8.2
Atuona,0,PF,72,-9.8,-139.03,79.7,7.48
Nelson Bay,40,AU,59,-32.72,152.14,67.1,2.1
Castro,90,CL,87,-42.48,-73.76,44.9,1.0
Mar del Plata,23,AR,65,-46.43,-67.52,40.1,12.99
Ushuaia,75,AR,64,-54.81,-68.31,39.5,9.3
Tuktoyaktuk,90,CA,93,69.44,-133.03,41.3,3.6
Chilca,20,PE,52,-13.22,-72.34,46.7,1.0
Busselton,98,AU,52,-33.64,115.35,62.7,1.34
Witu,0,KE,95,-2.39,40.44,68.7,2.01
Riyadh,0,SA,24,24.63,46.72,82.7,1.5
Ilulissat,100,GL,69,69.22,-51.1,34.1,1.5
Codajas,3,BR,66,-3.84,-62.06,76.6,0.63
Bredasdorp,60,ZA,81,-34.53,20.04,46.7,3.1
Kodiak,75,US,77,39.95,-94.76,65.6,1.5
Kapaa,40,US,62,22.08,-159.32,85.2,5.7
Rikitea,70,PF,71,-23.12,-134.97,70.5,5.14
Tecoanapa,100,MX,92,16.99,-99.26,74.8,0.57
Albany,0,AU,48,-35.02,117.88,62.9,5.1
Aklavik,90,CA,71,68.22,-135.01,53.9,4.1
Vaini,40,TO,78,-21.2,-175.2,79.1,4.6
Lufilufi,75,WS,70,-13.87,-171.6,88.1,3.1
Sioux Lookout,90,CA,93,50.1,-91.92,47.4,5.7
Saint George,40,BM,78,32.38,-64.68,81.5,2.6
Cherskiy,100,RU,70,68.75,161.3,44.8,9.09
Rikitea,70,PF,71,-23.12,-134.97,70.5,5.14
Palmer,1,US,42,61.6,-149.11,65.1,2.1
Albany,0,AU,48,-35.02,117.88,62.9,5.1
Kapaa,40,US,62,22.08,-159.32,85.2,5.7
Chuy,0,UY,94,-33.69,-53.46,54.5,3.75
Brae,99,GB,93,60.4,-1.35,57.5,3.6
Rikitea,70,PF,71,-23.12,-134.97,70.5,5.14
Caravelas,6,BR,71,-17.73,-39.27,69.6,5.11
